PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Data Analysis QC,Log AC50 Std Error
44,4253426,3246344,C[C@@]12CCC(=O)C=C1CC[C@H]3[C@H]2[C@H](C[C@@]4([C@@H]3CC[C@@H]4C5=CSC(=N5)N)C)O.C1=CC(=CC=C1S(=O)(=O)O)Br,Active,58,increasing,=,1.73E-06,-5.763,Verified,0.179
45,11113770,6604774,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)NC(=O)/C=C\C7=CC=C(C=C7)Cl,Active,58,increasing,=,1.63E-06,-5.789,Verified,0.061
46,11112894,65981,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,Active,57,increasing,=,2.10E-06,-5.678,Verified,0.038
47,4252993,413204,C1=CC=C(C=C1)N=NC2=C(C3=C(C=C2)C(=CC(=C3N)S(=O)(=O)O)S(=O)(=O)O)O,Active,56,increasing,=,2.59E-06,-5.587,Verified,0.901
48,11111995,23684972,C1[C@H]2[C@@H]([C@H]([C@@H](O2)N3C4=NC=NC(=C4N=C3Br)N)O)OP(=O)(O1)[O-].[Na+],Active,56,increasing,=,2.43E-06,-5.614,Verified,0.067
49,11112113,6604182,CC(=O)S[C@H]1CC2=CC(=O)CC[C@]2([C@@H]3[C@H]1[C@H]4CC[C@@]5([C@]4(CC3)C)CCC(=O)O5)C,Active,56,increasing,=,2.45E-06,-5.61,Verified,0.087
50,11112131,5944,C[C@@]12[C@H]3CC[C@@H]([C@@]1(C(=O)OC2=O)C)O3,Active,56,increasing,=,2.63E-06,-5.58,Verified,0.026
51,11112792,4849,C1CCN(C1)C2=C(C(=CC(=C2)C(=O)O)S(=O)(=O)N)OC3=CC=CC=C3,Active,56,increasing,=,2.81E-06,-5.551,Verified,0.076
52,857320,658669,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NN=C(O3)C4=CC=NC=C4,Active,55,increasing,=,3.51E-06,-5.454,Verified,0.132
53,861557,62547,C1CC2=CC=C(C3=CC=CC1=C23)N,Active,54,increasing,=,3.98E-06,-5.401,Verified,0.178
54,11112614,26596,CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Active,54,increasing,=,3.71E-06,-5.431,Verified,0.122
55,11112754,162302,CC(C)(C)NC[C@H](COC1=CC=CC=C1C2CCCC2)O,Active,53,increasing,=,4.85E-06,-5.314,Verified,0.024
56,11114104,6604871,COC1=C2CCN(C2=C(C=C1)[N+](=O)[O-])C(=O)CC[C@@H](C(=O)O)N,Active,53,increasing,=,4.81E-06,-5.318,Verified,0.132
57,11111811,5154,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6,Active,52,increasing,=,6.57E-06,-5.182,Verified,0.021
58,11110828,6398997,C/C(=N/O)/C(=O)C,Active,51,increasing,=,7.38E-06,-5.132,Verified,0.042
59,855520,5388957,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+],Active,38,increasing,=,1.53E-08,-7.816,Verified,0.194
60,4254097,5771666,C[C@H]1[C@H]2C[C@@]([C@H](/C=C\C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O,Active,26,increasing,=,2.78E-07,-6.556,Verified,0.282
61,11111798,6604008,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2([C@@H]3[C@@H]1[C@H]4CC[C@]5([C@@]4(CC3)C)CCC(=O)O5)C,Active,19,increasing,=,1.40E-06,-5.855,Verified,0.054
62,855514,5745,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,Active,17,increasing,=,1.83E-06,-5.738,Verified,0.065
63,11110933,6603773,CC(=O)OCC(=O)[C@]1(CC[C@H]2[C@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C)O,Active,17,increasing,=,1.79E-06,-5.746,Verified,0.058
64,11113341,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Active,16,increasing,=,2.68E-06,-5.573,Verified,0.152
65,11110807,104973,CN(CCCl)CC1=CC(=C(C(=C1)Cl)NC2=NCCN2)Cl,Active,14,increasing,=,3.84E-06,-5.415,Verified,0.039
66,855668,6602662,CN1CCCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl,Active,12,increasing,=,6.11E-06,-5.214,Verified,0.473
67,11111993,135484642,C1[C@H]2[C@@H]([C@H]([C@@H](O2)N3C4=C(C(=O)NC(=N4)N)N=C3Br)O)OP(=O)(O1)[O-].[Na+],Active,9,increasing,=,1.21E-05,-4.916,Verified,0.19
68,855663,71386,CCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(CC(=O)[C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)C)C)C(=O)CCl,Active,82,increasing,<,5.90E-12,-11.23,Verified,6.58
69,855884,32798,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl,Active,82,increasing,<,5.90E-12,-11.23,Verified,2.15E+09
70,4252885,3246136,C[C@]12C[C@H]([C@@]3([C@H]([C@H]1C[C@@H]4[C@@]2(O[C@@](O4)(C)C5=CC=CC=C5)C(=O)CO)CCC6=CC(=O)C=C[C@]63C)F)O,Active,75,increasing,<,2.95E-11,-10.53,Verified,1.93E+09
71,4253108,3246217,C[C@@H]1C[C@@H]2[C@H]3CC[C@]([C@@]3(C[C@@H]([C@@H]2[C@]4(C1=CC(=O)CC4)C)O)C)(C(=O)C)O,Active,75,increasing,<,2.95E-11,-10.53,Verified,2.15E+09
72,11114263,6604929,C[C@]12CC[C@@H]3C(=CC(=O)[C@H](O3)C(C)(C)O)[C@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)O,Active,72,increasing,=,6.76E-11,-10.17,Verified,2.928
73,855996,5282494,CCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)C(=O)CO,Active,63,increasing,=,4.59E-10,-9.338,Verified,14.25
74,855515,443958,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,Active,62,increasing,=,5.71E-10,-9.243,Verified,0.585
75,855724,9642,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3C[C@@H](C5=CC(=O)C=C[C@@]54C)F)F)O)C)OC(O2)(C)C,Active,62,increasing,=,5.70E-10,-9.244,Verified,0.543
76,11112699,6604380,CCC(=O)O[C@]1([C@H](C[C@H]2[C@@]1(C[C@@H]([C@@]3([C@@H]2CCC4=CC(=O)C=C[C@]43C)F)O)C)C)C(=O)CCl,Active,62,increasing,=,6.21E-10,-9.207,Verified,0.139
77,11112770,11972598,CCC(=O)[C@]1([C@@H](C[C@H]2[C@]1(C[C@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@@]34C)O)C)C)C,Active,62,increasing,=,5.92E-10,-9.228,Verified,0.193
78,11112868,6604445,CC#C[C@]1(CC[C@@H]2[C@]1(C[C@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,Active,62,increasing,=,6.78E-10,-9.169,Verified,0.199
79,855535,6215,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,Active,61,increasing,=,7.28E-10,-9.138,Verified,1.211
80,855657,71414,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F,Active,61,increasing,=,8.78E-10,-9.056,Verified,0.234
81,855830,10631,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C,Active,61,increasing,=,8.20E-10,-9.086,Verified,0.969
82,11112866,6604444,C[C@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@]4([C@]3([C@H](C[C@@]2([C@@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,Active,61,increasing,=,8.17E-10,-9.088,Verified,0.18
83,11112776,11972599,CCC[C@@H]1O[C@@H]2C[C@@H]3[C@H]4CCC5=CC(=O)C=C[C@]5([C@H]4[C@@H](C[C@]3([C@]2(O1)C(=O)CO)C)O)C,Active,60,increasing,=,1.07E-09,-8.972,Verified,0.144
84,855730,443980,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F,Active,59,increasing,=,1.24E-09,-8.906,Verified,0.488
85,11112491,6604301,C[C@]12CCC(=O)C=C1[C@H](C[C@H]3[C@H]2[C@@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F,Active,59,increasing,=,1.26E-09,-8.898,Verified,0.111
86,11112859,6604441,CCC(=O)O[C@]1([C@H](C[C@@H]2[C@]1(C[C@@H]([C@@]3([C@H]2C[C@H](C4=CC(=O)C=C[C@]43C)F)F)O)C)C)C(=O)SCF,Active,59,increasing,=,1.14E-09,-8.944,Verified,0.127
87,855541,5281004,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,Active,58,increasing,=,1.52E-09,-8.817,Verified,0.632
88,11111492,6569219,CC#C[C@]1(CC[C@H]2[C@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,Active,58,increasing,=,1.61E-09,-8.794,Verified,0.084
89,11112333,6604242,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@H]([C@@]4([C@@H]3C[C@@H](C5=CC(=O)C=C[C@]54C)F)F)O)C)OC(O2)(C)C,Active,58,increasing,=,1.75E-09,-8.758,Verified,0.159
90,11112522,6604310,C[C@H]1C[C@H]2[C@H]3CC[C@H]([C@@]3(C[C@H]([C@@H]2[C@]4(C1=CC(=O)CC4)C)O)C)C(=O)C,Active,58,increasing,=,1.50E-09,-8.824,Verified,0.095
91,11112527,6604313,C[C@@]12CCC(=O)C=C1CC[C@H]3[C@]2([C@H](C[C@@]4([C@@H]3C[C@H]5[C@@]4(OC(O5)(C)C)C(=O)CCl)C)O)F,Active,58,increasing,=,1.58E-09,-8.801,Verified,0.177
92,855862,15209,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F,Active,57,increasing,=,2.17E-09,-8.663,Verified,0.452
93,855985,20469,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C,Active,57,increasing,=,1.79E-09,-8.747,Verified,0.31
94,856018,11683,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,Active,57,increasing,=,1.85E-09,-8.732,Verified,0.183
95,11112734,6604390,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@]4([C@@]3([C@@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F,Active,57,increasing,=,2.03E-09,-8.694,Verified,0.117
96,11112736,6604392,C[C@@H]1C[C@H]2[C@H]3C[C@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@]2([C@@H]1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F,Active,56,increasing,=,2.39E-09,-8.622,Verified,0.164
97,855624,16490,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F,Active,55,increasing,=,2.93E-09,-8.533,Verified,0.149
98,855773,236702,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C,Active,55,increasing,=,3.01E-09,-8.521,Verified,0.398
99,855857,6436,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O,Active,55,increasing,=,3.13E-09,-8.505,Verified,0.352
100,11112219,7059648,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,Active,55,increasing,=,3.31E-09,-8.48,Verified,0.124
101,11112330,6604241,CC(=O)OCC(=O)[C@]1(CC[C@H]2[C@@]1(C[C@@H]([C@@]3([C@@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)O,Active,55,increasing,=,3.26E-09,-8.486,Verified,0.144
102,11112421,6604274,CC1=C[C@@H]2[C@H](CC[C@@]3([C@@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@]4(C1=CC(=O)CC4)C,Active,55,increasing,=,3.12E-09,-8.506,Verified,0.301
103,856020,443936,CCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C(=O)COC(=O)C,Active,54,increasing,=,3.71E-09,-8.43,Verified,0.844
104,11112098,11972590,C[C@@]12C[C@H]([C@H]3[C@H]([C@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@@]34C)O,Active,54,increasing,=,3.69E-09,-8.433,Verified,0.121
105,11112377,6604260,CC(=O)OCC(=O)[C@]1(CC[C@H]2[C@@]1(C[C@@H]([C@@]3([C@@H]2CCC4=CC(=O)CC[C@@]43C)F)O)C)O,Active,54,increasing,=,3.61E-09,-8.443,Verified,0.101
106,11112841,11972600,CCC(=O)OCC(=O)[C@]1(CC[C@H]2[C@]1(C[C@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@@]34C)O)C)OC(=O)OCC,Active,54,increasing,=,3.56E-09,-8.448,Verified,0.18
107,11112899,6604458,C[C@]12C[C@H]([C@@H]3[C@@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]35C)F)O,Active,54,increasing,=,3.95E-09,-8.404,Verified,0.246
108,11112510,6604306,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@]4([C@@]3([C@@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F,Active,53,increasing,=,4.76E-09,-8.323,Verified,0.24
109,855741,5753,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,Active,52,increasing,=,5.93E-09,-8.227,Verified,0.27
110,855747,94330,CCCCCCCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,Active,52,increasing,=,5.71E-09,-8.244,Verified,0.774
111,11112471,6604290,C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4([C@@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C,Active,52,increasing,=,6.61E-09,-8.18,Verified,0.154
112,855549,5388959,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)Cl)C)O,Active,51,increasing,=,7.80E-09,-8.108,Verified,0.34
113,11112097,6603869,C[C@@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@@H](C[C@@]4([C@@H]3CC[C@@]4(C(=O)CO)O)C)O,Active,51,increasing,=,7.14E-09,-8.146,Verified,0.126
