PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Data Analysis QC,Log AC50 Std Error
4466,4238789,3233898,CC1=CN=C(C=N1)CNC2=NC(=NC3=CC=CC=C32)C4=CC=C(C=C4)C(=O)N(C)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4467,4238790,3233899,COCCN1C2=NC(=NC=C2N=C(C1=O)C3=CC=C(C=C3)Cl)OC4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4468,4238791,3233900,C1=CC(=CC(=C1)C2=CN=CN=C2NCCC3=CN=CN3)C#N,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4469,4238795,3233904,C1=CC=C(C=C1)CNC2=NC=NC(=C2)C3=CC=CC=C3C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4470,4238796,3233905,COC1=CC=CC=C1C2=NC=CC(=N2)N3C=CN=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4471,4238797,3233906,CC1=CN=C(C=N1)CNC2=NC=NC(=C2)C3=CC=CC=C3Cl,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4472,4238798,3233907,COC1=CC=C(C=C1)N2C3=NC(=NC=C3N=C(C2=O)CCC4=CC=CC=C4)N5CCNCC5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4473,4238799,3233908,CC1=CN=C(C=N1)CNC2=NC=NC(=C2)C3=CC=CC=C3CN(C)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4474,4238800,3233909,CN(CC1=CC=CO1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4475,4238803,2475526,CC(=O)NCCNC1=NC(=NC2=CC=CC=C21)C3=CN=CC=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4476,4238804,3233912,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CN(C5=CC=CC=C54)C)CCC#N,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4477,4238806,3233914,CC1=C(C(=NO1)C)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4478,4238807,3233915,C1CN(CCN1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4479,4238810,3233918,COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CN=CC=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4480,4238811,3233919,CN(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=C(C=C(C=C4)OC)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4481,4238813,3233921,CC1=CC=CC=C1C2=CC(=NC=N2)N3CCN(CC3)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4482,4238815,3233923,CN(C)C1=NC=C2C(=N1)N(C(=O)C=N2)C3CC3,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4483,4238816,3233924,COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC=C3)C4=CN=CC=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4484,4238817,3233925,C1=CC=C(C=C1)COC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CS4)CCC#N,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4485,4238818,3233926,CC1=NC2=CN=C(N=C2N(C1=O)CC3=CC=CS3)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4486,4238819,3233927,CC(=O)NCCNC1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4487,4238820,3233928,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C)CCOC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4488,4238821,3233929,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CN(C4=CC=CC=C43)C)CC5=CC=CS5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4489,4238822,3233930,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)OC)CC4=CC=CS4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4490,4238823,3233931,COC1=CC=CC=C1CNC2=NC(=NC=C2)C3=CC=CC(=C3)C#N,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4491,4238824,3233932,CC1=NC2=CN=C(N=C2N(C1=O)CCOC)NC3=CC(=CC=C3)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4492,4238826,3233934,CN1CCN(CC1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4493,4238827,3233935,CN(C)C(=O)C1=CC=C(C=C1)C2=NC=CC(=N2)N(C)CC3=CC=CO3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4494,4238829,3233937,CNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)NS(=O)(=O)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4495,4238830,3233938,COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC=C3)C4=CC=CC=C4C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4496,4238832,3233940,CN(C)C1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4497,4238835,3233943,COC1=CC=CC=C1C2=CC(=NC=N2)NCC3=CC=CC=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4498,4238836,3233944,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)F)CCOC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4499,4238837,3233945,COC1=CC=CC=C1CNC2=NC=NC(=C2)C3=CC=CC=C3Cl,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4500,4238838,3233946,CN(C)C1=NC=NC2=C1C=C(C=C2)C3=CC=C(C=C3)C(=O)N(C)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4501,4238842,3233950,CN(C)C1=NC=NC2=C1C=C(C=C2)C3=CN=CC=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4502,4238844,3233952,C1COCCN1CCNC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4503,4238847,3233955,CC1=NC2=CN=C(N=C2N(C1=O)C[C@H]3CCCO3)N4CCOCC4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4504,4238848,3233956,CN(CC1=CC=CO1)C2=NC=NC3=C2C=C(C=C3)C4=COC=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4505,4238851,3233959,C1C[C@@H](OC1)CN2C3=NC(=NC=C3N=C(C2=O)C4=CC(=CC(=C4)F)F)NC5=CC=CC=C5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4506,4238852,3233960,COC1=CC=CC(=C1)C2=NC=CC(=N2)NCC3=CC=CC=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4507,4238853,3233961,C1OC2=C(O1)C=C(C=C2)C3=CC(=NC=N3)N4C=CN=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4508,4238854,3233962,CN1C2=NC(=NC=C2N=C(C1=O)C3=CC=C(C=C3)F)NC4=CC(=CC=C4)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4509,4238855,3233963,CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NCCNC(=O)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4510,4238857,3233965,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC=C3C4=CC(=CC=C4)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4511,4238858,3233966,CC1=C(C(=NO1)C)C2=CC(=NC=N2)NCC3=CC=CC=C3OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4512,4238859,3233967,C1=CC(=CN=C1)C2=CN=CN=C2NCC3=CC=CS3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4513,4238860,3233968,CC1=C(C(=NO1)C)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4514,4238863,3233971,CN1C2=NC(=NC=C2N=C(C1=O)CCC3=CC=CC=C3)NC4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4515,4238864,3233972,CN1CCN(CC1)C2=NC=NC3=C2C=C(C=C3)C4=CC=CC=C4C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4516,4238865,3233973,COC1=CC(=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)C4=CC5=C(C=C4)OCO5)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4517,4238867,3233975,CC1=C(C(=NO1)C)C2=NC3=CC=CC=C3C(=N2)N4CCNCC4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4518,4238870,3233978,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)C4CC4)OC5=CC(=CC=C5)Cl,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4519,4238871,3233979,CN(CC1=CC=CO1)C2=NC(=NC=C2)C3=CC(=CC=C3)NS(=O)(=O)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4520,4238872,3233980,C1=CC(=CC(=C1)Cl)OC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)Cl)CCC#N,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4521,4238873,3233981,CC1=NC2=CN=C(N=C2N(C1=O)C)OC3=CC=CC=C3,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4522,4238874,3233982,COCCN1C2=NC(=NC=C2N=C(C1=O)CCC3=CC=CC=C3)NC4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4523,4238875,3233983,CC1=CC(=CC=C1)CNC2=NC=NC=C2C3=CC=CC=C3C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4524,4238877,3233985,CNC1=NC(=NC2=CC=CC=C21)C3=CC(=CC=C3)NS(=O)(=O)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4525,4238878,3233986,C1OC2=C(O1)C=C(C=C2)C3=NC4=CC=CC=C4C(=N3)NCC5=CC=CS5,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4526,4238880,3233988,C1CC1N2C3=NC(=NC=C3N=C(C2=O)CCC4=CC=CC=C4)N5CCNCC5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4527,4238881,3233989,COC1=CC=C(C=C1)N2C3=NC=NC=C3N=C(C2=O)CCC4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4528,4238882,3233990,COC1=CC(=C(C=C1)CNC2=NC(=NC=C2)C3=CN=CC=C3)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4529,4238883,3233991,CC1=NC2=CN=C(N=C2N(C1=O)CCC#N)N3CCNCC3,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4530,4238885,3233993,COC1=CC=C(C=C1)N2C3=NC(=NC=C3N=C(C2=O)CCC4=CC=CC=C4)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4531,4238887,3233995,C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC=CS4)N5CCNCC5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4532,4238888,3233996,CS(=O)(=O)NC1=CC=CC(=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CC=CS4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4533,4238890,3233998,CN1C=C(C2=CC=CC=C21)C3=NC4=CN=C(N=C4N(C3=O)C5=CC=C(C=C5)OC)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4534,4238891,3233999,CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NCC3=CC=CC=C3OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4535,4238893,3234001,CN(C)CC1=CC=CC=C1C2=CC(=NC=N2)N3C=CN=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4536,4238895,3234003,C1=CC(=CN=C1)C2=CC(=NC=N2)N3C=CN=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4537,4238897,3234005,CN1C2=NC(=NC=C2N=C(C1=O)C3=CC=CS3)N(C)C,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4538,4238899,3234007,COC1=CC=CC=C1C2=CC(=NC=N2)NCC3=CC=CS3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4539,4238900,3234008,CS(=O)(=O)NC1=CC=CC(=C1)C2=CC3=C(C=C2)N=CN=C3NC4=CC=CC=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4540,4238901,3234009,CC1=NC2=CN=C(N=C2N(C1=O)CCC3=CC=CC=C3)OC4=CC=C(C=C4)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4541,4238902,3234010,C1=CC=C(C(=C1)C#N)C2=CC3=C(C=C2)N=CN=C3NCC4=CN=CC=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4542,4238903,3234011,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C=N3)C4=CC=C(C=C4)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4543,4238906,3234014,COC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)F)C[C@H]4CCCO4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4544,4238907,3234015,C1=CC=C(C=C1)CN2C3=NC=NC=C3N=C(C2=O)C4=CC=C(C=C4)F,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4545,4238909,1877191,C1=CC=C2C(=C1)C(=NC(=N2)C3=CN=CC=C3)NC4=CC=C(C=C4)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4546,4238910,3234017,C1CNCCC1NC2=NC=NC3=C2C=C(C=C3)C4=CC=CC(=C4)C#N,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4547,4238911,3234018,CN(C)CC1=CC=CC=C1C2=NC=CC(=N2)NCC3=C(C=C(C=C3)OC)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4548,4238912,3234019,CC1=CN=C(C=N1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC=CC=C4Cl,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4549,4238914,3234021,C1COCCN1C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CS4)CCC5=CC=CC=C5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4550,4238915,3234022,CN(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)N(C)CC4=CC=CO4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4551,4238916,3234023,CN1CCN(CC1)C2=NC=NC(=C2)C3=CC=CC=C3C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4552,4238918,3234025,C1C[C@@H](OC1)CN2C3=NC(=NC=C3N=C(C2=O)C4=CC(=CC(=C4)F)F)N5CCOCC5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4553,4238919,3234026,C1CC1N2C(=O)C=NC3=CN=C(N=C32)OC4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4554,4238921,3234028,CC1=CC(=CC=C1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC5=C(C=C4)OCO5,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4555,4238922,3234029,C1=CC(=CC(=C1)C2=CN=CN=C2NCC3=CC=CS3)C#N,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4556,4238923,3234030,CNC1=NC=NC=C1C2=CC=CC=C2CN(C)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4557,4238924,3234031,C1C[C@@H](OC1)CN2C3=NC(=NC=C3N=C(C2=O)C4=CC=C(C=C4)Cl)N5CCOCC5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4558,4238925,3234032,CN(CC1=CC=CO1)C2=NC=NC=C2C3=CC(=CC=C3)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4559,4238926,3234033,COC1=CC(=C(C=C1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC=CC(=C4)C#N)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4560,4238928,3234035,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C)C3=CC=C(C=C3)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4561,4238930,3234037,C1CNCCC1NC2=NC=NC3=C2C=C(C=C3)C4=CN=CC=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4562,4238933,3234040,CN1CCN(CC1)C2=NC(=NC=C2)C3=CC=CC=C3OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4563,4238934,3234041,CN(C)CC1=CC=CC=C1C2=CC(=NC=N2)NC3CC3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4564,4238935,3234042,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)C4=CC=CC=C4)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4565,4238936,3234043,C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC=CC=C4)N5CCOCC5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4566,4238937,3234044,CN(C)C1=NC=C2C(=N1)N(C(=O)C=N2)CC3=CC=CS3,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4567,4238940,3234047,C1=CC=C(C(=C1)CN2C3=NC=NC=C3N=C(C2=O)C4=CC(=C(C=C4)F)F)Cl,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4568,4238941,3234048,CC1=NC2=CN=C(N=C2N(C1=O)CC3=CC(=CC=C3)OC)OCC4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4569,4238943,3234050,CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NCC3=CN=CC=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4570,4238944,3234051,COC1=CC=CC(=C1)NC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CS4)CCC#N,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4571,4238946,3234053,CC1=CN=C(C=N1)CNC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4572,4238948,3234055,CC1=C(C(=NO1)C)C2=CN=CN=C2NCCN3CCOCC3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4573,4238952,3234059,CN1C2=NC(=NC=C2N=C(C1=O)C3=CC(=CC(=C3)F)F)OC4=CC(=CC=C4)Cl,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4574,4238953,3234060,CN(C)C(=O)C1=CC=C(C=C1)C2=CC3=C(C=C2)N=CN=C3NC4CC4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4575,4238955,3234062,CC1=C(C(=NO1)C)C2=CC(=NC=N2)NC3=CC=CC=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4576,4238956,3234063,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)C[C@H]4CCCO4)NC5=CC=CC=C5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4577,4238957,3234064,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C)CCC#N,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4578,4238958,3234065,CN(C)C1=CC=C(C=C1)C2=NC=CC(=N2)NCC3=C(C=C(C=C3)OC)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4579,4238959,3234066,C1=CC(=CN=C1)C2=CC(=NC=N2)NCC3=CC=CS3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4580,4238960,3234067,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC=C(C=C4)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4581,4238963,3234070,C1=CC=C(C=C1)COC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)Cl)CCC#N,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4582,4238964,3234071,CN1CCN(CC1)C2=NC(=NC=C2)C3=CC(=CC=C3)NS(=O)(=O)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4583,4238965,3234072,CC1=NC2=CN=C(N=C2N(C1=O)C[C@H]3CCCO3)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4584,4238966,3234073,CN1CCN(CC1)C2=NC=NC=C2C3=CC=CC=C3Cl,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4585,4238970,3234077,COC1=CC=C(C=C1)N2C(=O)C=NC3=CN=C(N=C32)N4CCOCC4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4586,4238971,3234078,CN(C)C(=O)C1=CC=C(C=C1)C2=CN=CN=C2N(C)CC3=CC=CO3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4587,4238972,3234079,CC1=CC=CC=C1C2=CN=CN=C2NCC3=C(C=C(C=C3)OC)OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4588,4238973,3234080,CC(=O)NCCNC1=NC(=NC2=CC=CC=C21)C3=CC=C(C=C3)C(=O)N(C)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4589,4238974,3234081,COCCN1C(=O)C=NC2=CN=C(N=C21)NC3=CC(=CC=C3)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4590,4238975,3234082,CN(C)CC1=CC=CC=C1C2=CC(=NC=N2)NC3=CC=CC=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4591,4238976,3234083,CN(C)CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4592,4238978,3234085,CN(C)CC1=CC=CC=C1C2=CC(=NC=N2)NCC3=CC=CC=C3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4593,4238979,3234086,CC1=NC2=CN=C(N=C2N(C1=O)CCC#N)OC3=CC(=CC=C3)Cl,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4594,4238980,3234087,CN(C)C1=CC=C(C=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CC=CC=C4OC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4595,4238981,3234088,CC1=NC2=CN=C(N=C2N(C1=O)C3CC3)OC4=CC(=CC=C4)Cl,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4596,4238984,3234091,CC1=NC2=CN=CN=C2N(C1=O)C3=CC=C(C=C3)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4597,4238985,3234092,C1=CC=C(C=C1)COC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC(=CC(=C4)F)F)CCC#N,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4598,4238986,3234093,CNC1=NC=NC(=C1)C2=CC=CC=C2C(F)(F)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4599,4238988,3234095,CC1=NC2=CN=C(N=C2N(C1=O)CC3=CC=C(C=C3)F)N4CCNCC4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4600,4238989,3234096,CC1=C(C(=NO1)C)C2=CC(=NC=N2)NCCOC,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4601,4238991,3234098,C1COCCN1CCNC2=NC(=NC=C2)C3=CC=CC=C3Cl,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4602,4238993,3234100,COC1=NC=C2C(=N1)N(C(=O)C(=N2)CCC3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4603,4238994,3234101,COCCN1C2=NC(=NC=C2N=C(C1=O)CCC3=CC=CC=C3)OC4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4604,4238995,3234102,C1OC2=C(O1)C=C(C=C2)C3=NC=CC(=N3)N4C=CN=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4605,4238996,3234103,CC1=CN=C(C=N1)CNC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4606,4238997,3234104,CN(C)C1=NC=C2C(=N1)N(C(=O)C=N2)CCOC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4607,4238998,3234105,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CC=C4)CCC5=CC=CC=C5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4608,4239000,3234107,CN1C=C(C2=CC=CC=C21)C3=NC4=CN=CN=C4N(C3=O)CC5=CC=C(C=C5)F,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4609,4239003,3234110,CC1=NC2=CN=C(N=C2N(C1=O)C3=CC=C(C=C3)OC)OC,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4610,4239004,3234111,COC1=CC=C(C=C1)OC2=NC=C3C(=N2)N(C(=O)C=N3)CCC4=CC=CC=C4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4611,4239005,3234112,C1COCCN1C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CC=C4)CC5=CC=CS5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4612,4239006,3234113,CC1=CC(=CC=C1)CNC2=NC(=NC3=CC=CC=C32)C4=CC(=CC=C4)NS(=O)(=O)C,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4613,4239007,3234114,CN(C)C(=O)C1=CC=C(C=C1)C2=CN=CN=C2NC3CCNCC3,Inactive,0,inactive,>,0.00461,-2.336,Verified,
4614,4239008,3234115,COCCN1C(=O)C=NC2=CN=C(N=C21)NC3=CC=CC=C3,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4615,4239009,3234116,COC1=CC=CC(=C1)NC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC(=CC(=C4)F)F)C[C@H]5CCCO5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4616,4239010,3234117,COC1=CC=CC(=C1)NC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CC=C4)CC5=CC=CS5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4617,4239011,3234118,COC1=NC=C2C(=N1)N(C(=O)C(=N2)CCC3=CC=CC=C3)CC4=CC=CS4,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4618,4239012,3234119,C1CN(CCN1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4619,4239013,3234120,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)CCC4=CC=CC=C4)C5CC5,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4620,4239014,3234121,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)Cl)CC4=CC=C(C=C4)F,Inactive,0,inactive,>,0.000922,-3.035,Verified,
4621,4239017,3234124,C1=CC=C2C(=C1)C(=NC(=N2)C3=COC=C3)NC4=CC=C(C=C4)F,Inactive,0,inactive,>,0.00461,-2.336,Verified,
